x; Xe; ne; tau; dtau_dx; ddtau_ddx; g_tilde; dg_tilde_dx; ddg_tilde_ddx; sound_horizon; t(x)
-12; 1; 8.19977e+14; 28137.1; -29148.5; 29370.2; 0; 0; 0; 5.01071e+22; 8.91213e+08
-11.9976; 1; 8.14094e+14; 28067.4; -29078; 29358.4; 0; 0; 0; 5.02277e+22; 8.95788e+08
-11.9952; 1; 8.08252e+14; 27997.6; -29007.6; 29322.8; 0; 0; 0; 5.03484e+22; 9.00364e+08
-11.9928; 1; 8.02452e+14; 27928; -28937.3; 29263.5; 0; 0; 0; 5.04693e+22; 9.04941e+08
-11.9904; 1; 7.96694e+14; 27858.6; -28867.1; 29181.4; 0; 0; 0; 5.05905e+22; 9.0952e+08
-11.988; 1; 7.90977e+14; 27789.4; -28797.2; 29097.3; 0; 0; 0; 5.0712e+22; 9.14101e+08
-11.9856; 1; 7.85302e+14; 27720.3; -28727.4; 29019.8; 0; 0; 0; 5.08339e+22; 9.18686e+08
-11.9832; 1; 7.79667e+14; 27651.5; -28657.8; 28948.8; 0; 0; 0; 5.09561e+22; 9.23274e+08
-11.9808; 1; 7.74072e+14; 27582.8; -28588.4; 28883.4; 0; 0; 0; 5.10785e+22; 9.27867e+08
-11.9784; 1; 7.68518e+14; 27514.2; -28519.2; 28817.5; 0; 0; 0; 5.12013e+22; 9.32464e+08
-11.976; 1; 7.63003e+14; 27445.9; -28450.1; 28750; 0; 0; 0; 5.13243e+22; 9.37067e+08
-11.9736; 1; 7.57528e+14; 27377.6; -28381.1; 28681; 0; 0; 0; 5.14476e+22; 9.41677e+08
-11.9712; 1; 7.52093e+14; 27309.6; -28312.4; 28611; 0; 0; 0; 5.15712e+22; 9.46293e+08
-11.9688; 1; 7.46696e+14; 27241.7; -28243.8; 28541.6; 0; 0; 0; 5.16951e+22; 9.50916e+08
-11.9664; 1; 7.41338e+14; 27174; -28175.3; 28472.8; 0; 0; 0; 5.18193e+22; 9.55548e+08
-11.964; 1; 7.36018e+14; 27106.4; -28107.1; 28404.7; 0; 0; 0; 5.19438e+22; 9.60188e+08
-11.9616; 1; 7.30737e+14; 27039.1; -28039; 28336.9; 0; 0; 0; 5.20685e+22; 9.64838e+08
-11.9592; 1; 7.25494e+14; 26971.8; -27971; 28269.1; 0; 0; 0; 5.21936e+22; 9.69497e+08
