#          chi2            h           OmegaM           OmegaK               Acceptrate
        11947.7         1.11219        0.879687        0.398426                100%
        11819.6         1.10723        0.911159        0.341784                100%
          11332         1.10908        0.851446        0.227958                100%
        11013.3         1.11424        0.775684        0.186053                57.1429%
        10471.1         1.10879        0.678514        0.211998                55.5556%
        10356.2          1.1119        0.617322        0.251557                54.5455%
        10288.5          1.1029        0.709822        0.143049                53.8462%
        10085.3         1.10867        0.661409       0.0999324                44.4444%
        9947.22         1.11113        0.638464       0.0684715                47.3684%
        9680.41         1.12494        0.516592       0.0750984                50%
        9288.58         1.13303        0.403294       0.0860069                50%
        9179.95         1.13814        0.385538       0.0422587                44.4444%
        8560.53         1.12535        0.398248      -0.0769877                44.8276%
        8352.03         1.12702        0.309984       0.0102618                45.1613%
        8291.12         1.13595        0.264211      0.00986434                40.5405%
        7805.02         1.14294        0.192706      -0.0490654                42.1053%
        7413.05         1.13938        0.212956       -0.175214                42.5%
         6791.8         1.13845        0.177197       -0.274406                38.2979%
        6479.06         1.13647        0.172421       -0.337822                39.5833%
        6289.11         1.14267        0.113116       -0.309838                40%
        6076.29         1.13217        0.117516       -0.311507                35%
        5954.94         1.12779        0.137216       -0.355406                36.0656%
        5912.34         1.12742        0.147091        -0.38362                37.0968%
        5629.96         1.13129        0.110817       -0.408462                34.7826%
        5311.34         1.11637        0.158174       -0.494255                33.7838%
         5307.3         1.11236        0.152638       -0.462462                32.9114%
        5124.56         1.11053         0.12822       -0.451259                31.7647%
        5058.29         1.10664        0.103123       -0.405427                32.5581%
        5017.94         1.10262        0.109299       -0.399471                30.2083%
        5021.51         1.10038       0.0987912       -0.365983                28.5714%
        4845.46         1.09341        0.120957       -0.412244                27.4336%
        4566.41         1.08719        0.112302       -0.456932                27.5862%
        4432.46         1.07506        0.100618       -0.379663                27.5%
           4212         1.06811        0.105595       -0.412232                27.8689%
        3994.22         1.05471         0.15141       -0.472985                27.7778%
        3870.11         1.05271        0.104669       -0.433847                28.3465%
        3794.15         1.05236        0.126382        -0.47062                24.8322%
        3788.16         1.04604        0.136712       -0.450777                24.6753%
        3720.97         1.04558        0.134265       -0.462597                23.7805%
         3686.2         1.04022        0.153189       -0.476407                23.1214%
        3676.04          1.0376        0.184536        -0.52497                23.5632%
